ID,Name,Filename,BBox
200,Bird,Bird01.bmd,0
200,Butterfly,Butterfly01.bmd,0
200,Fish,Fish01.bmd,0

0,Tree01,Tree01.bmd,0
1,Tree02,Tree02.bmd,0
2,Tree03,Tree03.bmd,0
3,Tree04,Tree04.bmd,0
4,Tree05,Tree05.bmd,0
5,Tree06,Tree06.bmd,0
6,Tree07,Tree07.bmd,0
7,Tree08,Tree08.bmd,0
8,Tree09,Tree09.bmd,0
9,Tree10,Tree10.bmd,0
10,Tree11,Tree11.bmd,0
11,Tree12,Tree12.bmd,0
12,Tree13,Tree13.bmd,0

20,Grass01,Grass01.bmd,0
21,Grass02,Grass02.bmd,0
22,Grass03,Grass03.bmd,0
23,Grass04,Grass04.bmd,0
24,Grass05,Grass05.bmd,0
25,Grass06,Grass06.bmd,0
26,Grass07,Grass07.bmd,0
27,Grass08,Grass08.bmd,0

30,Stone01,Stone01.bmd,0
31,Stone02,Stone02.bmd,0
32,Stone03,Stone03.bmd,0
33,Stone04,Stone04.bmd,0
34,Stone05,Stone05.bmd,0

40,StoneStatue01,StoneStatue01.bmd,0
41,StoneStatue02,StoneStatue02.bmd,0
42,StoneStatue03,StoneStatue03.bmd,0

43,SteelStatue01,SteelStatue01.bmd,0
44,Tomb01,Tomb01.bmd,0
45,Tomb02,Tomb02.bmd,0
46,Tomb03,Tomb03.bmd,0

50,FireLight01,FireLight01.bmd,0
51,FireLight02,FireLight02.bmd,0

52,Bonfire01,Bonfire01.bmd,0

55,DoungeonGate01,DoungeonGate01.bmd,0

56,MerchantAnimal01,MerchantAnimal01.bmd,0
57,MerchantAnimal02,MerchantAnimal02.bmd,0
58,TreasureDrum01,TreasureDrum01.bmd,0
59,TreasureChest01,TreasureChest01.bmd,0

60,Ship01,Ship01.bmd,0

65,SteelWall01,SteelWall01.bmd,0
66,SteelWall02,SteelWall02.bmd,0
67,SteelWall03,SteelWall03.bmd,0
68,SteelDoor01,SteelDoor01.bmd,0


69,StoneWall01,StoneWall01.bmd,0
70,StoneWall02,StoneWall02.bmd,0
71,StoneWall03,StoneWall03.bmd,0
72,StoneWall04,StoneWall04.bmd,0
73,StoneWall05,StoneWall05.bmd,0
74,StoneWall06,StoneWall06.bmd,0

75,StoneMuWall01,StoneMuWall01.bmd,0
76,StoneMuWall02,StoneMuWall02.bmd,0
77,StoneMuWall03,StoneMuWall03.bmd,0
78,StoneMuWall04,StoneMuWall04.bmd,0



80,Bridge01,Bridge01.bmd,0


81,Fence01,Fence01.bmd,0
82,Fence02,Fence02.bmd,0
83,Fence03,Fence03.bmd,0
84,Fence04,Fence04.bmd,0

85,BridgeStone01,BridgeStone01.bmd,0

90,StreetLight01,StreetLight01.bmd,0

91,Cannon01,Cannon01.bmd,0
92,Cannon02,Cannon02.bmd,0
93,Cannon03,Cannon03.bmd,0

95,Curtain01,Curtain01.bmd,0

96,Sign01,Sign01.bmd,0
97,Sign02,Sign02.bmd,0

98,Carriage01,Carriage01.bmd,0
99,Carriage02,Carriage02.bmd,0
100,Carriage03,Carriage03.bmd,0
101,Carriage04,Carriage04.bmd,0

102,Straw01,Straw01.bmd,0
103,Straw02,Straw02.bmd,0

105,Waterspout01,Waterspout01.bmd,0
106,Well01,Well01.bmd,0
107,Well02,Well02.bmd,0
108,Well03,Well03.bmd,0
109,Well04,Well04.bmd,0

110,Hanging01,Hanging01.bmd,0

111,Stair01,Stair01.bmd,0

115,House01,House01.bmd,0
116,House02,House02.bmd,0
117,House03,House03.bmd,0
118,House04,House04.bmd,0
119,House05,House05.bmd,0

120,Tent01,Tent01.bmd,0

121,HouseWall01,HouseWall01.bmd,0
122,HouseWall02,HouseWall02.bmd,0
123,HouseWall03,HouseWall03.bmd,0
124,HouseWall04,HouseWall04.bmd,0
125,HouseWall05,HouseWall05.bmd,0
126,HouseWall06,HouseWall06.bmd,0

127,HouseEtc01,HouseEtc01.bmd,0
128,HouseEtc02,HouseEtc02.bmd,0
129,HouseEtc03,HouseEtc03.bmd,0


130,Light01,Light01.bmd,0
131,Light02,Light02.bmd,0
132,Light03,Light03.bmd,0

133,PoseBox01,PoseBox01.bmd,0

140,Furniture01,Furniture01.bmd,0
141,Furniture02,Furniture02.bmd,0
142,Furniture03,Furniture03.bmd,0
143,Furniture04,Furniture04.bmd,0
144,Furniture05,Furniture05.bmd,0
145,Furniture06,Furniture06.bmd,0
146,Furniture07,Furniture07.bmd,0

150,Candle01,Candle01.bmd,0
151,Beer01,Beer01.bmd,0
152,Beer02,Beer02.bmd,0
153,Beer03,Beer03.bmd,0
