////////////////////////////////////////////////////////////////////////////////
// Text GS 1.00.18
// Version 1.04
// Translated - by Endi
// CastleDeepEvent.dat
////////////////////////////////////////////////////////////////////////////////
// Event start su khey cyul (24:00 me)
// hour minutes
0
20	00
end

// Event raiding type type
// raiding type probability
//-----------------------------------------------
1
1		30	// General raiding 
2		60	// Special raiding (C group addition)
end

// Event progress hour raiding type, group star hour progress order
//
// raiding type: 1 basic raiding
// 2 special raiding
//group: Every each raiding type hour it comes out fixing, it drives and su it sprouts, group
// Raiding type group appearance minute 
//-----------------------------------------------
2
1	1	0
1	2	10

2	1	0
2	2	10
2	3	20
end

// / Each raiding type, the group star it drives and su it sprouts and type and the modification
//
// raiding type group it drives and and su it sprouts, type start X start Y end X end Y
//-----------------------------------------------
3
1	1	39	30	60	28	132	73
1	1	34	30	60	28	132	73
1	1	41	30	60	28	132	73
1	1	37	30	60	28	132	73
1	1	40	30	60	28	132	73
1	1	35	30	60	28	132	73
1	1	51	30	60	28	132	73
1	1	52	30	60	28	132	73
1	1	48	30	60	28	132	73
1	1	62	30	60	28	132	73

1	2	69	30	60	58	132	101
1	2	60	30	60	58	132	101
1	2	71	30	60	58	132	101
1	2	57	30	60	58	132	101
1	2	70	30	60	58	132	101
1	2	58	30	60	58	132	101
1	2	61	30	60	58	132	101
1	2	73	30	60	58	132	101
1	2	74	30	60	58	132	101
1	2	72	30	60	58	132	101

2	1	39	30	60	28	132	73
2	1	34	30	60	28	132	73
2	1	41	30	60	28	132	73
2	1	37	30	60	28	132	73
2	1	40	30	60	28	132	73
2	1	35	30	60	28	132	73
2	1	51	30	60	28	132	73
2	1	52	30	60	28	132	73
2	1	48	30	60	28	132	73
2	1	62	30	60	28	132	73

2	2	294	30	60	58	132	101
2	2	290	30	60	58	132	101
2	2	193	30	60	58	132	101
2	2	194	30	60	58	132	101
2	2	192	30	60	58	132	101
2	2	190	30	60	58	132	101
2	2	195	30	60	58	132	101
2	2	61	30	60	58	132	101
2	2	73	30	60	58	132	101
2	2	127	30	60	58	132	101

2	3	49	20	60	58	132	101
2	3	139	20	60	58	132	101
2	3	123	20	60	58	132	101
2	3	59	20	60	58	132	101
2	3	74	20	60	58	132	101
2	3	62	20	60	58	132	101
2	3	293	20	60	58	132	101
2	3	292	20	60	58	132	101
2	3	291	20	60	58	132	101
2	3	295	1	60	58	132	101
end
