////////////////////////////////////////////////////////////////////////////////
// Text GS 1.00.18
// Version 1.04
// Translated - by Endi
// Castle Siege Settings
////////////////////////////////////////////////////////////////////////////////
0 
7 // how many days cycle includes 
end 

// Setting of castle periods.. 
// Period ID Day Hour Minute 
//--------------------------------------------- 
1 
1 0 0 0 // register period 
2 1 23 59 // idle state 
3 2 0 0 // register mark of the lord state 
4 5 0 0 // idle state 
5 5 12 0 // castle attack guild notification state 
6 5 19 0 // ready for castle siege state 
7 6 19 0 // castle siege start state 
8 6 21 0 // castle siege end state 
9 7 0 0 // end of cycle (restart from state 1, automaticaly) 
end 

// Settings of NPC located in loren 
// 
// NPC number Index Store in DB(0/1)?? Def Recover HP Start HP SX SY DX DY DIR 
//---------------------------------------- 
2 
// Guardian Statue 
283 1 1 1 0 0 400000 94 227 -1 -1 1 
283 2 1 1 0 0 400000 94 182 -1 -1 1 
283 3 1 1 0 0 400000 82 130 -1 -1 1 
283 4 1 1 0 0 400000 107 130 -1 -1 1 

// Castle Gate 
277 1 1 1 0 0 500000 93 204 -1 -1 1 
277 2 1 1 0 0 500000 81 161 -1 -1 1 
277 3 1 1 0 0 500000 107 161 -1 -1 1 
277 4 1 1 0 0 500000 67 114 -1 -1 1 
277 5 1 1 0 0 500000 93 114 -1 -1 1 
277 6 1 1 0 0 500000 119 114 -1 -1 1 

// Canon Tower 
288 1 0 1 0 0 800000 75 130 -1 -1 1 
288 2 0 1 0 0 800000 88 130 -1 -1 1 
288 3 0 1 0 0 800000 99 130 -1 -1 1 
288 4 0 1 0 0 800000 114 130 -1 -1 1 
288 5 0 1 0 0 800000 94 151 -1 -1 1 
288 6 0 1 0 0 800000 88 182 -1 -1 1 
288 7 0 1 0 0 800000 100 182 -1 -1 1 
288 8 0 1 0 0 800000 94 221 -1 -1 1 
288 9 0 1 0 0 800000 94 233 -1 -1 1 

// Tower Shield 
215 1 0 1 0 0 10000 94 242 -1 -1 1 

// Slingshot defense 
222 1 0 1 0 0 10000 80 188 -1 -1 1 
222 2 0 1 0 0 10000 105 188 -1 -1 1 

// Slingshot attack 
221 1 0 2 0 0 10000 63 19 -1 -1 5 
221 2 0 2 0 0 10000 119 19 -1 -1 5 
end
