//																																																																													
0																																																																													
// Type	        DropPro	SkillProLuckPro	AddPro	ExPro																																																																							
	3	160000	1000000	350000	1000000	600000																																																																							
	4	100000	1000000	500000	1000000	1000000																																																																							
	5	30000	1000000	500000	1000000	1000000																																																																							
	6	160000	0	350000	1000000	600000																																																																							
	7	100000	0	500000	1000000	1000000																																																																							
	8	120000	0	0	1000000	0																																																																							
	9	100000	0	0	0	0																																																																							
	10	157000	0	0	0	0																																																																							
	11	52150	0	0	0	0																																																																							
	12	16600	0	0	0	0																																																																							
	13	2000	0	0	0	0																																																																							
	14	70	0	0	0	0																																																																							
	15	180	0	0	0	0																																																																							
	16	300	0	0	0	0																																																																							
	17	300	0	0	0	0																																																																							
	18	1400	0	0	0	0																																																																							
end																																																																													
1																																																																													
	// Type	Value																																																																											
	0	500000																																																																											
	1	300000																																																																											
	2	150000																																																																											
	3	50000																																																																											
	4	0																																																																											
end																																																																													
2																																																																													
	// Type	Value																																																																											
	0	250000																																																																											
	1	150000																																																																											
	2	150000																																																																											
	3	150000																																																																											
	4	150000																																																																											
	5	150000																																																																											
end																																																																													
//																																																																													
	// Type	Index	MinLevel	MaxLevel	Skill	LuckOption	AddOption	ExOption																																																																					
3	//																																																																												
	0	0	0	0	0	1	1	2	//???																																																																		
	0	16	0	0	1	1	1	2	//????																																																																		
	0	17	0	0	1	1	1	2	//??????																																																																			
	0	18	0	0	1	1	1	2	//??????																																																																		
	0	31	0	0	1	1	1	2	//?????																																																																		
	2	10	0	0	1	1	1	2	//??????																																																																				
	2	11	0	0	1	1	1	2	//????																																																																	
	4	16	0	0	1	1	1	2	//????????																																																																			
	4	17	0	0	1	1	1	2	//???????																																																																		
	4	19	0	0	1	1	1	2	//????????																																																																			
	5	7	0	0	0	1	1	2	//????????																																																																			
	5	8	0	0	0	1	1	2	//??????																																																																			
	5	9	0	0	0	1	1	2	//????????																																																																			
	4	6	0	0	1	1	1	2	//????????																																																																		
	2	6	0	0	1	1	1	2	//????????																																																																			
	//																																																																												
	0	16	5	7	1	1	1	0	//????																																																																			
	0	17	5	7	1	1	1	0	//??????																																																																			
	0	18	5	7	1	1	1	0	//??????																																																																			
	0	31	5	7	1	1	1	0	//?????																																																																		
	2	10	5	7	1	1	1	0	//??????																																																																			
	2	11	5	7	1	1	1	0	//????																																																																				
	4	16	5	7	1	1	1	0	//????????																																																																		
	4	17	5	7	1	1	1	0	//???????																																																																			
	4	19	5	7	1	1	1	0	//????????																																																																		
	5	7	5	7	0	1	1	0	//????????																																																																				
	5	8	5	7	0	1	1	0	//??????																																																																				
	5	9	5	7	0	1	1	0	//????????																																																																			
	4	6	5	7	1	1	1	0	//????????																																																																			
	2	6	5	7	1	1	1	0	//????????																																																																			
end																																																																													
4	// 武器類2 (エクセレント)																																																																												
	0	2	0	0	0	1	1	2	//????																																																																			
	0	3	0	0	1	1	1	2	//???																																																																			
	1	3	0	0	1	1	1	2	//????	//トマホーク																																																																			
	2	2	0	0	0	1	1	2	//??	//フレイル																																																																			
	2	4	0	0	1	1	1	2	//????????	//クリスタルモーニングスター																																																																			
	2	5	0	0	1	1	1	2	//?????	//水晶の剣																																																																			
	2	7	0	0	1	1	1	2	//???????	//エレメンタルメイス																																																																			
	2	8	0	0	1	1	1	2	//????	//バトルセプター																																																																			
	2	9	0	0	1	1	1	2	//?????	//マスターセプター																																																																			
	3	9	0	0	1	1	1	2	//????	//バルロックの鎌																																																																			
	4	0	0	0	1	1	1	2	//??	//ショートボウ																																																																			
	4	11	0	0	1	1	1	2	//????	//ライトニングボウ																																																																			
	4	13	0	0	1	1	1	2	//?????	//セイレーン																																																																			
	4	14	0	0	1	1	1	2	//???????	//ダイダロス																																																																			
	5	6	0	0	0	1	1	2	//??????	//フェンリルの杖																																																																			
end																																																																													
5	// エクセレント盾類																																																																												
	6	0	0	0	0	1	1	2	//????	//レザーバックラー																																																																			
	6	1	0	0	0	1	1	2	//???	//スパイクバックラー																																																																			
	6	2	0	0	1	1	1	2	//?????	//カイトシールド																																																																			
	6	3	0	0	1	1	1	2	//????	//エルフの盾																																																																			
	6	4	0	0	1	1	1	2	//???	//スモールバックラー																																																																			
	6	5	0	0	0	1	1	2	//?????????	//蒼龍の盾																																																																			
	6	6	0	0	1	1	1	2	//????	//骸骨の盾																																																																			
	6	7	0	0	1	1	1	2	//??????	//スパイクシールド																																																																			
	6	8	0	0	1	1	1	2	//????	//タワーシールド																																																																			
	6	9	0	0	1	1	1	2	//????	//鋼鉄の盾																																																																			
	6	10	0	0	1	1	1	2	//?????	//ラウンドシールド																																																																			
	6	11	0	0	1	1	1	2	//?????	//邪神の盾																																																																			
	6	12	0	0	1	1	1	2	//?????	//青銅の盾																																																																			
	6	13	0	0	1	1	1	2	//?????	//ドラゴンシールド																																																																			
	6	14	0	0	0	1	1	2	//?????	//オーディーンの盾																																																																			
	6	15	0	0	0	1	1	2	//???????	//グランドソウルシールド																																																																			
	6	16	0	0	1	1	1	2	//??????	//エレメンタルシールド																																																																			
end																																																																													
	// Type	Index	MinLevel	MaxLevel	Skill	LuckOption	AddOption	ExOption																																																																					
6	// 防具類 1 (エクセレント)																																																																												
	8	15	0	0	0	1	1	2	//??????	//ケルベロスアーマー																																																																			
	9	15	0	0	0	1	1	2	//??????	//ケルベロスガーダー																																																																			
	10	15	0	0	0	1	1	2	//??????	//ケルベロスグラブ																																																																			
	11	15	0	0	0	1	1	2	//??????	//ケルベロスブーツ
	7	16	0	0	0	1	1	2	//???????	//ブラックドラゴンヘルム
	8	16	0	0	0	1	1	2	//???????	//ブラックドラゴンアーマー
	9	16	0	0	0	1	1	2	//???????	//ブラックドラゴンガーダー
	10	16	0	0	0	1	1	2	//???????	//ブラックドラゴングラブ
	11	16	0	0	0	1	1	2	//???????	//ブラックドラゴンブーツ
	7	17	0	0	0	1	1	2	//???????	//フェニックスの兜
	8	17	0	0	0	1	1	2	//???????	//フェニックスの鎧
	9	17	0	0	0	1	1	2	//???????	//フェニックスのガーダー
	10	17	0	0	0	1	1	2	//???????	//フェニックスのグラブ
	11	17	0	0	0	1	1	2	//???????	//フェニックスのブーツ
	7	18	0	0	0	1	1	2	//???????	//ルシファーの兜
	8	18	0	0	0	1	1	2	//???????	//ルシファーの鎧
	9	18	0	0	0	1	1	2	//???????	//ルシファーのガーダー
	10	18	0	0	0	1	1	2	//???????	//ルシファーのグラブ
	11	18	0	0	0	1	1	2	//???????	//ルシファーのブーツ
	7	19	0	0	0	1	1	2	//???????	//エウロパの兜
	8	19	0	0	0	1	1	2	//???????	//エウロパの鎧
	9	19	0	0	0	1	1	2	//???????	//エウロパのガーダー
	10	19	0	0	0	1	1	2	//???????	//エウロパのグラブ
	11	19	0	0	0	1	1	2	//???????	//エウロパのブーツ
	8	20	0	0	0	1	1	2	//??????	//ハーデスの鎧
	9	20	0	0	0	1	1	2	//??????	//ハーデスのガーダー
	10	20	0	0	0	1	1	2	//??????	//ハーデスのグラブ
	11	20	0	0	0	1	1	2	//??????	//ハーデスのブーツ
	7	27	0	0	0	1	1	2	//????????	//ダークブリザードマスク
	8	27	0	0	0	1	1	2	//???????	//ダークブリザードアーマー
	9	27	0	0	0	1	1	2	//???????	//ダークブリザードガーダー
	10	27	0	0	0	1	1	2	//???????	//ダークブリザードグラブ
	11	27	0	0	0	1	1	2	//???????	//ダークブリザードブーツ
	7	28	0	0	0	1	1	2	//????????	//ダークマスターマスク
	8	28	0	0	0	1	1	2	//???????	//ダークマスターアーマー
	9	28	0	0	0	1	1	2	//???????	//ダークマスターガーダー
	10	28	0	0	0	1	1	2	//???????	//ダークマスターグラブ
	11	28	0	0	0	1	1	2	//???????	//ダークマスターブーツ
	7	34	0	0	0	1	1	2	//???????	//アッシュクローヘルム
	8	34	0	0	0	1	1	2	//???????	//アッシュクローアーマー
	9	34	0	0	0	1	1	2	//???????	//アッシュクローガーダー
	10	34	0	0	0	1	1	2	//???????	//アッシュクローグラブ
	11	34	0	0	0	1	1	2	//???????	//アッシュクローブーツ
	7	35	0	0	0	1	1	2	//??????	//イクリプスヘルム
	8	35	0	0	0	1	1	2	//??????	//イクリプスアーマー
	9	35	0	0	0	1	1	2	//??????	//イクリプスガーダー
	10	35	0	0	0	1	1	2	//??????	//イクリプスグラブ
	11	35	0	0	0	1	1	2	//??????	//イクリプスブーツ
	7	36	0	0	0	1	1	2	//??????	//アイリスヘルム
	8	36	0	0	0	1	1	2	//??????	//アイリスアーマー
	9	36	0	0	0	1	1	2	//??????	//アイリスガーダー
	10	36	0	0	0	1	1	2	//??????	//アイリスグラブ
	11	36	0	0	0	1	1	2	//??????	//アイリスブーツ
	8	37	0	0	0	1	1	2	//??????	//ヴァリアントアーマー
	9	37	0	0	0	1	1	2	//??????	//ヴァリアントガーダー
	10	37	0	0	0	1	1	2	//??????	//ヴァリアントグラブ
	11	37	0	0	0	1	1	2	//??????	//ヴァリアントブーツ
	7	38	0	0	0	1	1	2	//????????	//グロリアスマスク
	8	38	0	0	0	1	1	2	//???????	//グロリアスアーマー
	9	38	0	0	0	1	1	2	//???????	//グロリアスガーダー
	10	38	0	0	0	1	1	2	//???????	//グロリアスグラブ
	11	38	0	0	0	1	1	2	//???????	//グロリアスブーツ
	7	21	0	0	0	1	1	2	//?????????	//グレートドラゴンヘルム
	8	21	0	0	0	1	1	2	//?????????	//グレートドラゴンアーマー
	9	21	0	0	0	1	1	2	//?????????	//グレートドラゴンガーター
	10	21	0	0	0	1	1	2	//?????????	//グレートドラゴングラブ
	11	21	0	0	0	1	1	2	//?????????	//グレートドラゴンブーツ
	7	22	0	0	0	1	1	2	//??????	//ブラックソウルヘルム																																																																			
	8	22	0	0	0	1	1	2	//??????	//ブラックソウルアーマー																																																																			
	9	22	0	0	0	1	1	2	//??????	//ブラックソウルヘルム																																																																			
	10	22	0	0	0	1	1	2	//??????	//ブラックソウルグラブ																																																																			
	11	22	0	0	0	1	1	2	//??????	//ブラックソウルブーツ																																																																			
	8	23	0	0	0	1	1	2	//?????	//アスリルアーマー																																																																			
	9	23	0	0	0	1	1	2	//?????	//アスリルガーター																																																																			
	10	23	0	0	0	1	1	2	//?????	//アスリルグラブ																																																																			
	11	23	0	0	0	1	1	2	//?????	//アスリルブーツ																																																																			
	7	24	0	0	0	1	1	2	//???????	//レッドスピリットの兜																																																																			
	8	24	0	0	0	1	1	2	//???????	//レッドスピリットの鎧																																																																			
	9	24	0	0	0	1	1	2	//???????	//レッドスピリットのガーダー																																																																			
	10	24	0	0	0	1	1	2	//???????	//レッドスピリットのグラブ																																																																			
	11	24	0	0	0	1	1	2	//???????	//レッドスピリットのブーツ																																																																			
	// 防具類 1 (ノーマル)																																																																												
	7	28	5	7	0	1	1	0	//????????	//ダークマスターマスク																																																																			
