//---------------------------------------------------------------------------------
// [UCD] GamerServer ChaosCastle Configure.
// Create 	: [UCD]Leo123
// LastModified : 8 May 2009 [9:00] 
// GS-Version 	: 1.00.32
// GS-Protocol	: Kor
// File		: ChaosCastle.dat
// Thanks	: Kudo
//---------------------------------------------------------------------------------
// 0 = Time Settings , 1 = Drops , 2 = Time Schedules , 3 = Item drop rate
//---------------------------------------------------------------------------------
//	Open_TIME	PLAY_TIME	REST_TIME 		     [FOR_HOW_MUCH]
//---------------------------------------------------------------------------------
0
	5		10		1
end


//---------------------------------------------------------------------------------
//	HOUR		MINUTE					[EACH_TIME_TO_OPEN]
//---------------------------------------------------------------------------------
1	
	09		00
	11		00
	13		00
	17		00
	19		30
	21		00
	23		00
	01		00
	03		00
end
//---------------------------------------------------------------------------------
//	TYPE		INDEX		LEVEL				[Items_DROP]
//---------------------------------------------------------------------------------
2	
12	34	0	// Sacred Box of Chaos
end
